,epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_h1n1_2009_positive_tests,flu_ah1_positive_tests,flu_ah3_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,other_hpiv_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
8,201432,2014-08-09,2014-08-14,lab,montréal-laval,260.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,149.0,0.0,1.0,4.0,0.0,0.0,157.0,7.0,92.0,0.0,,,64.0,0.0
9,201432,2014-08-09,2014-08-14,lab,ouest du québec,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
10,201432,2014-08-09,2014-08-14,lab,montérégie,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
11,201432,2014-08-09,2014-08-14,region,qc,340.0,0.0,0.0,0.0,1.0,1.0,262.0,0.0,226.0,0.0,1.0,6.0,1.0,0.0,234.0,8.0,140.0,0.0,,,112.0,0.0
12,201432,2014-08-09,2014-08-14,lab,ottawa p.h.l.,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
13,201432,2014-08-09,2014-08-14,lab,cheo - ottawa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,201432,2014-08-09,2014-08-14,lab,kingston,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0
15,201432,2014-08-09,2014-08-14,region,atlantic,135.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,201432,2014-08-09,2014-08-14,lab,c.p.h.l. - toronto,155.0,0.0,0.0,0.0,0.0,0.0,159.0,2.0,159.0,1.0,0.0,7.0,0.0,0.0,159.0,0.0,141.0,0.0,62.0,0.0,44.0,0.0
17,201432,2014-08-09,2014-08-14,lab,sick kids' hospital - toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,201432,2014-08-09,2014-08-14,lab,sunnybrook & women's college hsc,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,24.0,0.0,24.0,3.0,24.0,0.0
19,201432,2014-08-09,2014-08-14,lab,sault ste. marie,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
20,201432,2014-08-09,2014-08-14,lab,timmins,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,201432,2014-08-09,2014-08-14,lab,st. joseph's - london,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0
22,201432,2014-08-09,2014-08-14,lab,london p.h.l.,15.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,16.0,0.0,11.0,2.0,5.0,0.0
23,201432,2014-08-09,2014-08-14,lab,orillia p.h.l.,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,1.0,1.0,1.0,0.0
24,201432,2014-08-09,2014-08-14,lab,thunder bay,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0
25,201432,2014-08-09,2014-08-14,lab,sudbury p.h.l.,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0
26,201432,2014-08-09,2014-08-14,lab,hamilton p.h.l.,23.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,20.0,0.0,15.0,0.0,8.0,0.0
27,201432,2014-08-09,2014-08-14,lab,peterborough p.h.l.,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,4.0,2.0,4.0,0.0
28,201432,2014-08-09,2014-08-14,region,on,394.0,0.0,0.0,0.0,0.0,0.0,401.0,2.0,298.0,2.0,1.0,16.0,0.0,0.0,266.0,1.0,237.0,0.0,160.0,15.0,91.0,0.0
29,201432,2014-08-09,2014-08-14,lab,mb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,201432,2014-08-09,2014-08-14,lab,regina,54.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,54.0,0.0,1.0,7.0,0.0,0.0,54.0,3.0,54.0,0.0,54.0,13.0,54.0,0.0
31,201432,2014-08-09,2014-08-14,region,atlantic,32.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,32.0,0.0,32.0,10.0,32.0,0.0
32,201432,2014-08-09,2014-08-14,lab,sk,86.0,0.0,0.0,0.0,1.0,0.0,86.0,1.0,86.0,0.0,1.0,7.0,0.0,0.0,86.0,4.0,86.0,0.0,86.0,23.0,86.0,0.0
33,201432,2014-08-09,2014-08-14,lab,ab,200.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,200.0,9.0,0.0,0.0,0.0,0.0,200.0,6.0,200.0,0.0,200.0,34.0,200.0,0.0
34,201432,2014-08-09,2014-08-14,region,prairies,286.0,0.0,0.0,0.0,1.0,1.0,286.0,1.0,286.0,9.0,1.0,7.0,0.0,0.0,286.0,10.0,286.0,0.0,286.0,57.0,286.0,0.0
35,201432,2014-08-09,2014-08-14,region,bc,64.0,0.0,0.0,1.0,1.0,0.0,64.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,31.0,0.0,31.0,5.0,31.0,0.0
