epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
202436,2024-09-07,2024-09-12,lab,nb,1064.0,176.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,0.0,105.0,16.0,105.0,1.0
202436,2024-09-07,2024-09-12,region,atlantic,2845.0,492.0,2265.0,2.0,0.0,0.0,2.0,2.0,0.0,2218.0,0.0,577.0,3.0,0.0,0.0,4.0,0.0,577.0,8.0,577.0,2.0,577.0,73.0,577.0,2.0
202436,2024-09-07,2024-09-12,lab,région nord-est,1317.0,270.0,1136.0,1.0,0.0,0.0,1.0,1.0,0.0,468.0,4.0,110.0,0.0,0.0,1.0,1.0,0.0,110.0,2.0,96.0,1.0,110.0,24.0,110.0,1.0
202436,2024-09-07,2024-09-12,lab,québec-chaudière-appalaches,1435.0,285.0,1079.0,9.0,0.0,0.0,4.0,4.0,5.0,1078.0,20.0,518.0,3.0,1.0,0.0,1.0,0.0,532.0,11.0,518.0,0.0,540.0,83.0,441.0,16.0
202436,2024-09-07,2024-09-12,lab,centre-du-québec,2251.0,572.0,807.0,1.0,0.0,0.0,1.0,1.0,0.0,590.0,11.0,38.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,38.0,0.0,38.0,8.0,40.0,1.0
202436,2024-09-07,2024-09-12,lab,montréal-laval,1911.0,377.0,1379.0,10.0,0.0,0.0,10.0,10.0,0.0,1221.0,11.0,711.0,7.0,2.0,3.0,2.0,0.0,711.0,7.0,715.0,2.0,740.0,66.0,711.0,4.0
202436,2024-09-07,2024-09-12,lab,ouest du québec,1400.0,335.0,647.0,2.0,0.0,0.0,2.0,2.0,0.0,646.0,3.0,29.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,26.0,7.0,29.0,0.0
202436,2024-09-07,2024-09-12,lab,montérégie,1419.0,341.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,14.0,1.0,6.0,0.0
202436,2024-09-07,2024-09-12,region,qc,9733.0,2180.0,6079.0,23.0,0.0,0.0,18.0,18.0,5.0,5033.0,59.0,1412.0,10.0,5.0,4.0,4.0,0.0,1426.0,21.0,1402.0,3.0,1468.0,189.0,1337.0,22.0
202436,2024-09-07,2024-09-12,lab,phol - ottawa,115.0,52.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,92.0,0.0,0.0,0.0,0.0,4.0,92.0,0.0,92.0,1.0,92.0,3.0,92.0,2.0
202436,2024-09-07,2024-09-12,lab,eorla,682.0,82.0,425.0,1.0,0.0,0.0,1.0,1.0,0.0,425.0,1.0,58.0,1.0,0.0,2.0,0.0,0.0,58.0,1.0,58.0,0.0,58.0,8.0,58.0,1.0
